,date,sex,confirmed,deceased
0,2020-03-02,female,2621,9
1,2020-03-02,male,1591,13
2,2020-03-03,female,3002,12
3,2020-03-03,male,1810,16
4,2020-03-04,female,3332,12
5,2020-03-04,male,1996,20
6,2020-03-05,female,3617,14
7,2020-03-05,male,2149,21
8,2020-03-06,female,3939,17
9,2020-03-06,male,2345,25
10,2020-03-07,female,4245,18
11,2020-03-07,male,2522,26
12,2020-03-08,female,4440,20
13,2020-03-08,male,2694,29
14,2020-03-09,female,4583,20
15,2020-03-09,male,2799,31
16,2020-03-10,female,4661,21
17,2020-03-10,male,2852,33
18,2020-03-11,female,4808,25
19,2020-03-11,male,2947,35
20,2020-03-12,female,4875,28
21,2020-03-12,male,2994,38
22,2020-03-13,female,4936,28
23,2020-03-13,male,3043,39
24,2020-03-14,female,4986,31
25,2020-03-14,male,3100,41
26,2020-03-15,female,5026,34
27,2020-03-15,male,3136,41
28,2020-03-16,female,5067,34
29,2020-03-16,male,3169,41
30,2020-03-17,female,5120,37
31,2020-03-17,male,3200,44
32,2020-03-18,female,5173,39
33,2020-03-18,male,3240,45
34,2020-03-19,female,5269,42
35,2020-03-19,male,3296,49
36,2020-03-20,female,5322,43
37,2020-03-20,male,3330,51
38,2020-03-21,female,5412,48
39,2020-03-21,male,3387,54
40,2020-03-22,female,5467,49
41,2020-03-22,male,3430,55
42,2020-03-23,female,5504,53
43,2020-03-23,male,3457,58
44,2020-03-24,female,5540,60
45,2020-03-24,male,3497,60
46,2020-03-25,female,5587,62
47,2020-03-25,male,3550,64
48,2020-03-26,female,5643,63
49,2020-03-26,male,3598,68
50,2020-03-27,female,5694,64
51,2020-03-27,male,3638,75
52,2020-03-28,female,5742,67
53,2020-03-28,male,3736,77
54,2020-03-29,female,5784,74
55,2020-03-29,male,3799,78
56,2020-03-30,female,5827,78
57,2020-03-30,male,3834,80
58,2020-03-31,female,5881,80
59,2020-03-31,male,3905,82
60,2020-04-01,female,5941,81
61,2020-04-01,male,3946,84
62,2020-04-02,female,5997,82
63,2020-04-02,male,3979,87
64,2020-04-03,female,6049,82
65,2020-04-03,male,4013,92
66,2020-04-04,female,6104,83
67,2020-04-04,male,4052,94
68,2020-04-05,female,6139,86
69,2020-04-05,male,4098,97
70,2020-04-06,female,6166,88
71,2020-04-06,male,4118,98
72,2020-04-07,female,6193,91
73,2020-04-07,male,4138,101
74,2020-04-08,female,6221,94
75,2020-04-08,male,4163,106
76,2020-04-09,female,6238,97
77,2020-04-09,male,4185,107
78,2020-04-10,female,6250,99
79,2020-04-10,male,4200,109
80,2020-04-11,female,6265,100
81,2020-04-11,male,4215,111
82,2020-04-12,female,6283,101
83,2020-04-12,male,4229,113
84,2020-04-13,female,6294,102
85,2020-04-13,male,4243,115
86,2020-04-14,female,6308,106
87,2020-04-14,male,4256,116
88,2020-04-15,female,6325,107
89,2020-04-15,male,4266,118
90,2020-04-16,female,6341,107
91,2020-04-16,male,4272,122
92,2020-04-17,female,6349,108
93,2020-04-17,male,4286,122
94,2020-04-18,female,6360,108
95,2020-04-18,male,4293,124
96,2020-04-19,female,6364,110
97,2020-04-19,male,4297,124
98,2020-04-20,female,6372,111
99,2020-04-20,male,4302,125
100,2020-04-21,female,6375,112
101,2020-04-21,male,4308,125
102,2020-04-22,female,6380,112
103,2020-04-22,male,4314,126
104,2020-04-23,female,6384,113
105,2020-04-23,male,4318,127
106,2020-04-24,female,6385,113
107,2020-04-24,male,4323,127
108,2020-04-25,female,6391,113
109,2020-04-25,male,4327,127
110,2020-04-26,female,6395,115
111,2020-04-26,male,4333,127
112,2020-04-27,female,6401,116
113,2020-04-27,male,4337,127
114,2020-04-28,female,6408,116
115,2020-04-28,male,4344,128
116,2020-04-29,female,6413,117
117,2020-04-29,male,4348,129
118,2020-04-30,female,6413,117
119,2020-04-30,male,4352,130
120,2020-05-01,female,6418,118
121,2020-05-01,male,4356,130
122,2020-05-02,female,6418,120
123,2020-05-02,male,4362,130
124,2020-05-03,female,6424,120
125,2020-05-03,male,4369,130
126,2020-05-04,female,6426,121
127,2020-05-04,male,4375,131
128,2020-05-05,female,6427,123
129,2020-05-05,male,4377,131
130,2020-05-06,female,6427,123
131,2020-05-06,male,4379,132
132,2020-05-07,female,6428,123
133,2020-05-07,male,4382,133
134,2020-05-08,female,6433,123
135,2020-05-08,male,4389,133
136,2020-05-09,female,6434,123
137,2020-05-09,male,4406,133
138,2020-05-10,female,6444,123
139,2020-05-10,male,4430,133
140,2020-05-11,female,6448,123
141,2020-05-11,male,4461,133
142,2020-05-12,female,6455,125
143,2020-05-12,male,4481,133
144,2020-05-13,female,6463,125
145,2020-05-13,male,4499,134
146,2020-05-14,female,6475,125
147,2020-05-14,male,4516,135
148,2020-05-15,female,6486,125
149,2020-05-15,male,4532,135
150,2020-05-16,female,6493,126
151,2020-05-16,male,4544,136
152,2020-05-17,female,6501,126
153,2020-05-17,male,4549,136
154,2020-05-18,female,6505,126
155,2020-05-18,male,4560,137
156,2020-05-19,female,6509,126
157,2020-05-19,male,4569,137
158,2020-05-20,female,6518,126
159,2020-05-20,male,4592,137
160,2020-05-21,female,6521,126
161,2020-05-21,male,4601,138
162,2020-05-22,female,6526,126
163,2020-05-22,male,4616,138
164,2020-05-23,female,6537,126
165,2020-05-23,male,4628,140
166,2020-05-24,female,6547,126
167,2020-05-24,male,4643,140
168,2020-05-25,female,6555,126
169,2020-05-25,male,4651,141
170,2020-05-26,female,6561,127
171,2020-05-26,male,4664,142
172,2020-05-27,female,6585,127
173,2020-05-27,male,4680,142
174,2020-05-28,female,6617,127
175,2020-05-28,male,4727,142
176,2020-05-29,female,6643,127
177,2020-05-29,male,4759,142
178,2020-05-30,female,6661,127
179,2020-05-30,male,4780,142
180,2020-05-31,female,6673,127
181,2020-05-31,male,4795,143
182,2020-06-02,female,6712,128
183,2020-06-02,male,4829,144
184,2020-06-03,female,6738,128
185,2020-06-03,male,4852,145
186,2020-06-04,female,6757,128
187,2020-06-04,male,4872,145
